PROGRAM,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,AREA GROWN,AREA GROWN: (0.1 TO 0.9 ACRES),963,5.6
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,AREA GROWN,AREA GROWN: (1.0 TO 4.9 ACRES),"3,195",5.9
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,AREA GROWN,AREA GROWN: (100 OR MORE ACRES),"46,265",25.3
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,AREA GROWN,AREA GROWN: (15.0 TO 24.9 ACRES),"2,514",20
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,AREA GROWN,AREA GROWN: (25.0 TO 49.9 ACRES),"4,231",13
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,AREA GROWN,AREA GROWN: (5.0 TO 14.9 ACRES),"3,396",8.6
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,AREA GROWN,AREA GROWN: (50.0 TO 99.9 ACRES),"10,146",50.5
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,"70,709",15.4
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,AREA GROWN,AREA GROWN: (0.1 TO 0.9 ACRES),"1,199",6.2
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,AREA GROWN,AREA GROWN: (1.0 TO 4.9 ACRES),"3,729",5.3
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,AREA GROWN,AREA GROWN: (100 OR MORE ACRES),"46,931",25
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,AREA GROWN,AREA GROWN: (15.0 TO 24.9 ACRES),"2,758",19.1
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,AREA GROWN,AREA GROWN: (25.0 TO 49.9 ACRES),"4,441",12.7
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,AREA GROWN,AREA GROWN: (5.0 TO 14.9 ACRES),"3,942",7.9
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,AREA GROWN,AREA GROWN: (50.0 TO 99.9 ACRES),"10,461",47.6
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,"73,462",15.3
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,AREA GROWN,AREA GROWN: (0.1 TO 0.9 ACRES),236,13.2
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,AREA GROWN,AREA GROWN: (1.0 TO 4.9 ACRES),535,5.1
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,AREA GROWN,AREA GROWN: (100 OR MORE ACRES),666,4.2
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,AREA GROWN,AREA GROWN: (15.0 TO 24.9 ACRES),244,34.1
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,AREA GROWN,AREA GROWN: (25.0 TO 49.9 ACRES),210,37.3
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,AREA GROWN,AREA GROWN: (5.0 TO 14.9 ACRES),547,9.9
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,AREA GROWN,AREA GROWN: (50.0 TO 99.9 ACRES),315,(H)
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,"2,753",15.5
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN,AREA GROWN: (0.1 TO 0.9 ACRES),"4,690",6.4
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN,AREA GROWN: (1.0 TO 4.9 ACRES),"1,812",6.1
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN,AREA GROWN: (100 OR MORE ACRES),161,25.4
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN,AREA GROWN: (15.0 TO 24.9 ACRES),146,17.2
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN,AREA GROWN: (25.0 TO 49.9 ACRES),131,11.9
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN,AREA GROWN: (5.0 TO 14.9 ACRES),510,7.3
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN,AREA GROWN: (50.0 TO 99.9 ACRES),146,44
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,"7,596",5.7
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN,AREA GROWN: (0.1 TO 0.9 ACRES),"5,508",7
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN,AREA GROWN: (1.0 TO 4.9 ACRES),"1,884",5.7
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN,AREA GROWN: (100 OR MORE ACRES),161,25.4
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN,AREA GROWN: (15.0 TO 24.9 ACRES),147,18.3
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN,AREA GROWN: (25.0 TO 49.9 ACRES),131,11.9
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN,AREA GROWN: (5.0 TO 14.9 ACRES),514,7.3
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN,AREA GROWN: (50.0 TO 99.9 ACRES),146,44
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,"8,491",5.8
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN,AREA GROWN: (0.1 TO 0.9 ACRES),"1,270",13.7
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN,AREA GROWN: (1.0 TO 4.9 ACRES),562,6.4
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN,AREA GROWN: (100 OR MORE ACRES),17,27.9
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN,AREA GROWN: (15.0 TO 24.9 ACRES),43,19
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN,AREA GROWN: (25.0 TO 49.9 ACRES),22,40.9
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN,AREA GROWN: (5.0 TO 14.9 ACRES),200,8.2
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN,AREA GROWN: (50.0 TO 99.9 ACRES),16,72.6
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,"2,130",8.4
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"5,301",43.5
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),546,6.3
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),546,6.3
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,495,299",51.2
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"335,964,420",45.7
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,494,673",51.3
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),540,6.3
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,483,234",50.3
