Year,State,Program,Data Item,Yield,CV_Percent
2024,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",645,NA
2024,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",205,NA
2023,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",605,NA
2023,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",210,NA
2022,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",590,NA
2022,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",220,NA
2021,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",625,NA
2021,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",230,NA
2020,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",650,NA
2020,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",200,NA
2019,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",610,NA
2019,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",255,NA
2018,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",660,NA
2018,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",225,NA
2018,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",44,NA
2018,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",125,NA
2018,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",100,NA
2018,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",105,NA
2018,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",795,NA
2018,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",250,NA
2018,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",44,NA
2018,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",125,NA
2018,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",100,NA
2018,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",105,NA
2017,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",645,NA
2017,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",225,NA
2017,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",39,NA
2017,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",135,NA
2017,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",91,NA
2017,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",95,NA
2017,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",710,NA
2017,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",230,NA
2017,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",39,NA
2017,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",135,NA
